,door_state,smoke_state,keypad_state,temperature_state,humidity_state,ldr_state,camera_state,rtc_time_state
0,on,on,auth,increasing,increasing,increasing,1,dawn
1,on,on,auth,increasing,increasing,increasing,1,day
2,on,on,auth,increasing,increasing,increasing,1,noon
3,on,on,auth,increasing,increasing,increasing,1,evening
4,on,on,auth,increasing,increasing,increasing,1,dusk
5,on,on,auth,increasing,increasing,increasing,1,night
6,on,on,auth,increasing,increasing,increasing,2,dawn
7,on,on,auth,increasing,increasing,increasing,2,day
8,on,on,auth,increasing,increasing,increasing,2,noon
9,on,on,auth,increasing,increasing,increasing,2,evening
10,on,on,auth,increasing,increasing,increasing,2,dusk
11,on,on,auth,increasing,increasing,increasing,2,night
12,on,on,auth,increasing,increasing,increasing,3,dawn
13,on,on,auth,increasing,increasing,increasing,3,day
14,on,on,auth,increasing,increasing,increasing,3,noon
15,on,on,auth,increasing,increasing,increasing,3,evening
16,on,on,auth,increasing,increasing,increasing,3,dusk
17,on,on,auth,increasing,increasing,increasing,3,night
18,on,on,auth,increasing,increasing,increasing,4,dawn
19,on,on,auth,increasing,increasing,increasing,4,day
20,on,on,auth,increasing,increasing,increasing,4,noon
21,on,on,auth,increasing,increasing,increasing,4,evening
22,on,on,auth,increasing,increasing,increasing,4,dusk
23,on,on,auth,increasing,increasing,increasing,4,night
24,on,on,auth,increasing,increasing,increasing,5,dawn
25,on,on,auth,increasing,increasing,increasing,5,day
26,on,on,auth,increasing,increasing,increasing,5,noon
27,on,on,auth,increasing,increasing,increasing,5,evening
28,on,on,auth,increasing,increasing,increasing,5,dusk
29,on,on,auth,increasing,increasing,increasing,5,night
30,on,on,auth,increasing,increasing,decreasing,1,dawn
31,on,on,auth,increasing,increasing,decreasing,1,day
32,on,on,auth,increasing,increasing,decreasing,1,noon
33,on,on,auth,increasing,increasing,decreasing,1,evening
34,on,on,auth,increasing,increasing,decreasing,1,dusk
35,on,on,auth,increasing,increasing,decreasing,1,night
36,on,on,auth,increasing,increasing,decreasing,2,dawn
37,on,on,auth,increasing,increasing,decreasing,2,day
38,on,on,auth,increasing,increasing,decreasing,2,noon
39,on,on,auth,increasing,increasing,decreasing,2,evening
40,on,on,auth,increasing,increasing,decreasing,2,dusk
41,on,on,auth,increasing,increasing,decreasing,2,night
42,on,on,auth,increasing,increasing,decreasing,3,dawn
43,on,on,auth,increasing,increasing,decreasing,3,day
44,on,on,auth,increasing,increasing,decreasing,3,noon
45,on,on,auth,increasing,increasing,decreasing,3,evening
46,on,on,auth,increasing,increasing,decreasing,3,dusk
47,on,on,auth,increasing,increasing,decreasing,3,night
48,on,on,auth,increasing,increasing,decreasing,4,dawn
49,on,on,auth,increasing,increasing,decreasing,4,day
50,on,on,auth,increasing,increasing,decreasing,4,noon
51,on,on,auth,increasing,increasing,decreasing,4,evening
52,on,on,auth,increasing,increasing,decreasing,4,dusk
53,on,on,auth,increasing,increasing,decreasing,4,night
54,on,on,auth,increasing,increasing,decreasing,5,dawn
55,on,on,auth,increasing,increasing,decreasing,5,day
56,on,on,auth,increasing,increasing,decreasing,5,noon
57,on,on,auth,increasing,increasing,decreasing,5,evening
58,on,on,auth,increasing,increasing,decreasing,5,dusk
59,on,on,auth,increasing,increasing,decreasing,5,night
60,on,on,auth,increasing,increasing,stable,1,dawn
61,on,on,auth,increasing,increasing,stable,1,day
62,on,on,auth,increasing,increasing,stable,1,noon
63,on,on,auth,increasing,increasing,stable,1,evening
64,on,on,auth,increasing,increasing,stable,1,dusk
65,on,on,auth,increasing,increasing,stable,1,night
66,on,on,auth,increasing,increasing,stable,2,dawn
67,on,on,auth,increasing,increasing,stable,2,day
68,on,on,auth,increasing,increasing,stable,2,noon
69,on,on,auth,increasing,increasing,stable,2,evening
70,on,on,auth,increasing,increasing,stable,2,dusk
71,on,on,auth,increasing,increasing,stable,2,night
72,on,on,auth,increasing,increasing,stable,3,dawn
73,on,on,auth,increasing,increasing,stable,3,day
74,on,on,auth,increasing,increasing,stable,3,noon
75,on,on,auth,increasing,increasing,stable,3,evening
76,on,on,auth,increasing,increasing,stable,3,dusk
77,on,on,auth,increasing,increasing,stable,3,night
78,on,on,auth,increasing,increasing,stable,4,dawn
79,on,on,auth,increasing,increasing,stable,4,day
80,on,on,auth,increasing,increasing,stable,4,noon
81,on,on,auth,increasing,increasing,stable,4,evening
82,on,on,auth,increasing,increasing,stable,4,dusk
83,on,on,auth,increasing,increasing,stable,4,night
84,on,on,auth,increasing,increasing,stable,5,dawn
85,on,on,auth,increasing,increasing,stable,5,day
86,on,on,auth,increasing,increasing,stable,5,noon
87,on,on,auth,increasing,increasing,stable,5,evening
88,on,on,auth,increasing,increasing,stable,5,dusk
89,on,on,auth,increasing,increasing,stable,5,night
90,on,on,auth,increasing,increasing,fluctuate,1,dawn
91,on,on,auth,increasing,increasing,fluctuate,1,day
92,on,on,auth,increasing,increasing,fluctuate,1,noon
93,on,on,auth,increasing,increasing,fluctuate,1,evening
94,on,on,auth,increasing,increasing,fluctuate,1,dusk
95,on,on,auth,increasing,increasing,fluctuate,1,night
96,on,on,auth,increasing,increasing,fluctuate,2,dawn
97,on,on,auth,increasing,increasing,fluctuate,2,day
98,on,on,auth,increasing,increasing,fluctuate,2,noon
99,on,on,auth,increasing,increasing,fluctuate,2,evening
100,on,on,auth,increasing,increasing,fluctuate,2,dusk
101,on,on,auth,increasing,increasing,fluctuate,2,night
102,on,on,auth,increasing,increasing,fluctuate,3,dawn
103,on,on,auth,increasing,increasing,fluctuate,3,day
104,on,on,auth,increasing,increasing,fluctuate,3,noon
105,on,on,auth,increasing,increasing,fluctuate,3,evening
106,on,on,auth,increasing,increasing,fluctuate,3,dusk
107,on,on,auth,increasing,increasing,fluctuate,3,night
108,on,on,auth,increasing,increasing,fluctuate,4,dawn
109,on,on,auth,increasing,increasing,fluctuate,4,day
110,on,on,auth,increasing,increasing,fluctuate,4,noon
111,on,on,auth,increasing,increasing,fluctuate,4,evening
112,on,on,auth,increasing,increasing,fluctuate,4,dusk
113,on,on,auth,increasing,increasing,fluctuate,4,night
114,on,on,auth,increasing,increasing,fluctuate,5,dawn
115,on,on,auth,increasing,increasing,fluctuate,5,day
116,on,on,auth,increasing,increasing,fluctuate,5,noon
117,on,on,auth,increasing,increasing,fluctuate,5,evening
118,on,on,auth,increasing,increasing,fluctuate,5,dusk
119,on,on,auth,increasing,increasing,fluctuate,5,night
120,on,on,auth,increasing,decreasing,increasing,1,dawn
121,on,on,auth,increasing,decreasing,increasing,1,day
122,on,on,auth,increasing,decreasing,increasing,1,noon
123,on,on,auth,increasing,decreasing,increasing,1,evening
124,on,on,auth,increasing,decreasing,increasing,1,dusk
125,on,on,auth,increasing,decreasing,increasing,1,night
126,on,on,auth,increasing,decreasing,increasing,2,dawn
127,on,on,auth,increasing,decreasing,increasing,2,day
128,on,on,auth,increasing,decreasing,increasing,2,noon
129,on,on,auth,increasing,decreasing,increasing,2,evening
130,on,on,auth,increasing,decreasing,increasing,2,dusk
131,on,on,auth,increasing,decreasing,increasing,2,night
132,on,on,auth,increasing,decreasing,increasing,3,dawn
133,on,on,auth,increasing,decreasing,increasing,3,day
134,on,on,auth,increasing,decreasing,increasing,3,noon
135,on,on,auth,increasing,decreasing,increasing,3,evening
136,on,on,auth,increasing,decreasing,increasing,3,dusk
137,on,on,auth,increasing,decreasing,increasing,3,night
138,on,on,auth,increasing,decreasing,increasing,4,dawn
139,on,on,auth,increasing,decreasing,increasing,4,day
140,on,on,auth,increasing,decreasing,increasing,4,noon
141,on,on,auth,increasing,decreasing,increasing,4,evening
142,on,on,auth,increasing,decreasing,increasing,4,dusk
143,on,on,auth,increasing,decreasing,increasing,4,night
144,on,on,auth,increasing,decreasing,increasing,5,dawn
145,on,on,auth,increasing,decreasing,increasing,5,day
146,on,on,auth,increasing,decreasing,increasing,5,noon
147,on,on,auth,increasing,decreasing,increasing,5,evening
148,on,on,auth,increasing,decreasing,increasing,5,dusk
149,on,on,auth,increasing,decreasing,increasing,5,night
150,on,on,auth,increasing,decreasing,decreasing,1,dawn
151,on,on,auth,increasing,decreasing,decreasing,1,day
152,on,on,auth,increasing,decreasing,decreasing,1,noon
153,on,on,auth,increasing,decreasing,decreasing,1,evening
154,on,on,auth,increasing,decreasing,decreasing,1,dusk
155,on,on,auth,increasing,decreasing,decreasing,1,night
156,on,on,auth,increasing,decreasing,decreasing,2,dawn
157,on,on,auth,increasing,decreasing,decreasing,2,day
158,on,on,auth,increasing,decreasing,decreasing,2,noon
159,on,on,auth,increasing,decreasing,decreasing,2,evening
160,on,on,auth,increasing,decreasing,decreasing,2,dusk
161,on,on,auth,increasing,decreasing,decreasing,2,night
162,on,on,auth,increasing,decreasing,decreasing,3,dawn
163,on,on,auth,increasing,decreasing,decreasing,3,day
164,on,on,auth,increasing,decreasing,decreasing,3,noon
165,on,on,auth,increasing,decreasing,decreasing,3,evening
166,on,on,auth,increasing,decreasing,decreasing,3,dusk
167,on,on,auth,increasing,decreasing,decreasing,3,night
168,on,on,auth,increasing,decreasing,decreasing,4,dawn
169,on,on,auth,increasing,decreasing,decreasing,4,day
170,on,on,auth,increasing,decreasing,decreasing,4,noon
171,on,on,auth,increasing,decreasing,decreasing,4,evening
172,on,on,auth,increasing,decreasing,decreasing,4,dusk
173,on,on,auth,increasing,decreasing,decreasing,4,night
174,on,on,auth,increasing,decreasing,decreasing,5,dawn
175,on,on,auth,increasing,decreasing,decreasing,5,day
176,on,on,auth,increasing,decreasing,decreasing,5,noon
177,on,on,auth,increasing,decreasing,decreasing,5,evening
178,on,on,auth,increasing,decreasing,decreasing,5,dusk
179,on,on,auth,increasing,decreasing,decreasing,5,night
180,on,on,auth,increasing,decreasing,stable,1,dawn
181,on,on,auth,increasing,decreasing,stable,1,day
182,on,on,auth,increasing,decreasing,stable,1,noon
183,on,on,auth,increasing,decreasing,stable,1,evening
184,on,on,auth,increasing,decreasing,stable,1,dusk
185,on,on,auth,increasing,decreasing,stable,1,night
186,on,on,auth,increasing,decreasing,stable,2,dawn
187,on,on,auth,increasing,decreasing,stable,2,day
188,on,on,auth,increasing,decreasing,stable,2,noon
189,on,on,auth,increasing,decreasing,stable,2,evening
190,on,on,auth,increasing,decreasing,stable,2,dusk
191,on,on,auth,increasing,decreasing,stable,2,night
192,on,on,auth,increasing,decreasing,stable,3,dawn
193,on,on,auth,increasing,decreasing,stable,3,day
194,on,on,auth,increasing,decreasing,stable,3,noon
195,on,on,auth,increasing,decreasing,stable,3,evening
196,on,on,auth,increasing,decreasing,stable,3,dusk
197,on,on,auth,increasing,decreasing,stable,3,night
198,on,on,auth,increasing,decreasing,stable,4,dawn
199,on,on,auth,increasing,decreasing,stable,4,day
200,on,on,auth,increasing,decreasing,stable,4,noon
201,on,on,auth,increasing,decreasing,stable,4,evening
202,on,on,auth,increasing,decreasing,stable,4,dusk
203,on,on,auth,increasing,decreasing,stable,4,night
204,on,on,auth,increasing,decreasing,stable,5,dawn
205,on,on,auth,increasing,decreasing,stable,5,day
206,on,on,auth,increasing,decreasing,stable,5,noon
207,on,on,auth,increasing,decreasing,stable,5,evening
208,on,on,auth,increasing,decreasing,stable,5,dusk
209,on,on,auth,increasing,decreasing,stable,5,night
210,on,on,auth,increasing,decreasing,fluctuate,1,dawn
211,on,on,auth,increasing,decreasing,fluctuate,1,day
212,on,on,auth,increasing,decreasing,fluctuate,1,noon
213,on,on,auth,increasing,decreasing,fluctuate,1,evening
214,on,on,auth,increasing,decreasing,fluctuate,1,dusk
215,on,on,auth,increasing,decreasing,fluctuate,1,night
216,on,on,auth,increasing,decreasing,fluctuate,2,dawn
217,on,on,auth,increasing,decreasing,fluctuate,2,day
218,on,on,auth,increasing,decreasing,fluctuate,2,noon
219,on,on,auth,increasing,decreasing,fluctuate,2,evening
220,on,on,auth,increasing,decreasing,fluctuate,2,dusk
221,on,on,auth,increasing,decreasing,fluctuate,2,night
222,on,on,auth,increasing,decreasing,fluctuate,3,dawn
223,on,on,auth,increasing,decreasing,fluctuate,3,day
224,on,on,auth,increasing,decreasing,fluctuate,3,noon
225,on,on,auth,increasing,decreasing,fluctuate,3,evening
226,on,on,auth,increasing,decreasing,fluctuate,3,dusk
227,on,on,auth,increasing,decreasing,fluctuate,3,night
228,on,on,auth,increasing,decreasing,fluctuate,4,dawn
229,on,on,auth,increasing,decreasing,fluctuate,4,day
230,on,on,auth,increasing,decreasing,fluctuate,4,noon
231,on,on,auth,increasing,decreasing,fluctuate,4,evening
232,on,on,auth,increasing,decreasing,fluctuate,4,dusk
233,on,on,auth,increasing,decreasing,fluctuate,4,night
234,on,on,auth,increasing,decreasing,fluctuate,5,dawn
235,on,on,auth,increasing,decreasing,fluctuate,5,day
236,on,on,auth,increasing,decreasing,fluctuate,5,noon
237,on,on,auth,increasing,decreasing,fluctuate,5,evening
238,on,on,auth,increasing,decreasing,fluctuate,5,dusk
239,on,on,auth,increasing,decreasing,fluctuate,5,night
240,on,on,auth,increasing,stable,increasing,1,dawn
241,on,on,auth,increasing,stable,increasing,1,day
242,on,on,auth,increasing,stable,increasing,1,noon
243,on,on,auth,increasing,stable,increasing,1,evening
244,on,on,auth,increasing,stable,increasing,1,dusk
245,on,on,auth,increasing,stable,increasing,1,night
246,on,on,auth,increasing,stable,increasing,2,dawn
247,on,on,auth,increasing,stable,increasing,2,day
248,on,on,auth,increasing,stable,increasing,2,noon
249,on,on,auth,increasing,stable,increasing,2,evening
250,on,on,auth,increasing,stable,increasing,2,dusk
251,on,on,auth,increasing,stable,increasing,2,night
252,on,on,auth,increasing,stable,increasing,3,dawn
253,on,on,auth,increasing,stable,increasing,3,day
254,on,on,auth,increasing,stable,increasing,3,noon
255,on,on,auth,increasing,stable,increasing,3,evening
256,on,on,auth,increasing,stable,increasing,3,dusk
257,on,on,auth,increasing,stable,increasing,3,night
258,on,on,auth,increasing,stable,increasing,4,dawn
259,on,on,auth,increasing,stable,increasing,4,day
260,on,on,auth,increasing,stable,increasing,4,noon
261,on,on,auth,increasing,stable,increasing,4,evening
262,on,on,auth,increasing,stable,increasing,4,dusk
263,on,on,auth,increasing,stable,increasing,4,night
264,on,on,auth,increasing,stable,increasing,5,dawn
265,on,on,auth,increasing,stable,increasing,5,day
266,on,on,auth,increasing,stable,increasing,5,noon
267,on,on,auth,increasing,stable,increasing,5,evening
268,on,on,auth,increasing,stable,increasing,5,dusk
269,on,on,auth,increasing,stable,increasing,5,night
270,on,on,auth,increasing,stable,decreasing,1,dawn
271,on,on,auth,increasing,stable,decreasing,1,day
272,on,on,auth,increasing,stable,decreasing,1,noon
273,on,on,auth,increasing,stable,decreasing,1,evening
274,on,on,auth,increasing,stable,decreasing,1,dusk
275,on,on,auth,increasing,stable,decreasing,1,night
276,on,on,auth,increasing,stable,decreasing,2,dawn
277,on,on,auth,increasing,stable,decreasing,2,day
278,on,on,auth,increasing,stable,decreasing,2,noon
279,on,on,auth,increasing,stable,decreasing,2,evening
280,on,on,auth,increasing,stable,decreasing,2,dusk
281,on,on,auth,increasing,stable,decreasing,2,night
282,on,on,auth,increasing,stable,decreasing,3,dawn
283,on,on,auth,increasing,stable,decreasing,3,day
284,on,on,auth,increasing,stable,decreasing,3,noon
285,on,on,auth,increasing,stable,decreasing,3,evening
286,on,on,auth,increasing,stable,decreasing,3,dusk
287,on,on,auth,increasing,stable,decreasing,3,night
288,on,on,auth,increasing,stable,decreasing,4,dawn
289,on,on,auth,increasing,stable,decreasing,4,day
290,on,on,auth,increasing,stable,decreasing,4,noon
291,on,on,auth,increasing,stable,decreasing,4,evening
292,on,on,auth,increasing,stable,decreasing,4,dusk
293,on,on,auth,increasing,stable,decreasing,4,night
294,on,on,auth,increasing,stable,decreasing,5,dawn
295,on,on,auth,increasing,stable,decreasing,5,day
296,on,on,auth,increasing,stable,decreasing,5,noon
297,on,on,auth,increasing,stable,decreasing,5,evening
298,on,on,auth,increasing,stable,decreasing,5,dusk
299,on,on,auth,increasing,stable,decreasing,5,night
300,on,on,auth,increasing,stable,stable,1,dawn
301,on,on,auth,increasing,stable,stable,1,day
302,on,on,auth,increasing,stable,stable,1,noon
303,on,on,auth,increasing,stable,stable,1,evening
304,on,on,auth,increasing,stable,stable,1,dusk
305,on,on,auth,increasing,stable,stable,1,night
306,on,on,auth,increasing,stable,stable,2,dawn
307,on,on,auth,increasing,stable,stable,2,day
308,on,on,auth,increasing,stable,stable,2,noon
309,on,on,auth,increasing,stable,stable,2,evening
310,on,on,auth,increasing,stable,stable,2,dusk
311,on,on,auth,increasing,stable,stable,2,night
312,on,on,auth,increasing,stable,stable,3,dawn
313,on,on,auth,increasing,stable,stable,3,day
314,on,on,auth,increasing,stable,stable,3,noon
315,on,on,auth,increasing,stable,stable,3,evening
316,on,on,auth,increasing,stable,stable,3,dusk
317,on,on,auth,increasing,stable,stable,3,night
318,on,on,auth,increasing,stable,stable,4,dawn
319,on,on,auth,increasing,stable,stable,4,day
320,on,on,auth,increasing,stable,stable,4,noon
321,on,on,auth,increasing,stable,stable,4,evening
322,on,on,auth,increasing,stable,stable,4,dusk
323,on,on,auth,increasing,stable,stable,4,night
324,on,on,auth,increasing,stable,stable,5,dawn
325,on,on,auth,increasing,stable,stable,5,day
326,on,on,auth,increasing,stable,stable,5,noon
327,on,on,auth,increasing,stable,stable,5,evening
328,on,on,auth,increasing,stable,stable,5,dusk
329,on,on,auth,increasing,stable,stable,5,night
330,on,on,auth,increasing,stable,fluctuate,1,dawn
331,on,on,auth,increasing,stable,fluctuate,1,day
332,on,on,auth,increasing,stable,fluctuate,1,noon
333,on,on,auth,increasing,stable,fluctuate,1,evening
334,on,on,auth,increasing,stable,fluctuate,1,dusk
335,on,on,auth,increasing,stable,fluctuate,1,night
336,on,on,auth,increasing,stable,fluctuate,2,dawn
337,on,on,auth,increasing,stable,fluctuate,2,day
338,on,on,auth,increasing,stable,fluctuate,2,noon
339,on,on,auth,increasing,stable,fluctuate,2,evening
340,on,on,auth,increasing,stable,fluctuate,2,dusk
341,on,on,auth,increasing,stable,fluctuate,2,night
342,on,on,auth,increasing,stable,fluctuate,3,dawn
343,on,on,auth,increasing,stable,fluctuate,3,day
344,on,on,auth,increasing,stable,fluctuate,3,noon
345,on,on,auth,increasing,stable,fluctuate,3,evening
346,on,on,auth,increasing,stable,fluctuate,3,dusk
347,on,on,auth,increasing,stable,fluctuate,3,night
348,on,on,auth,increasing,stable,fluctuate,4,dawn
349,on,on,auth,increasing,stable,fluctuate,4,day
350,on,on,auth,increasing,stable,fluctuate,4,noon
351,on,on,auth,increasing,stable,fluctuate,4,evening
352,on,on,auth,increasing,stable,fluctuate,4,dusk
353,on,on,auth,increasing,stable,fluctuate,4,night
354,on,on,auth,increasing,stable,fluctuate,5,dawn
355,on,on,auth,increasing,stable,fluctuate,5,day
356,on,on,auth,increasing,stable,fluctuate,5,noon
357,on,on,auth,increasing,stable,fluctuate,5,evening
358,on,on,auth,increasing,stable,fluctuate,5,dusk
359,on,on,auth,increasing,stable,fluctuate,5,night
360,on,on,auth,increasing,fluctuate,increasing,1,dawn
361,on,on,auth,increasing,fluctuate,increasing,1,day
362,on,on,auth,increasing,fluctuate,increasing,1,noon
363,on,on,auth,increasing,fluctuate,increasing,1,evening
364,on,on,auth,increasing,fluctuate,increasing,1,dusk
365,on,on,auth,increasing,fluctuate,increasing,1,night
366,on,on,auth,increasing,fluctuate,increasing,2,dawn
367,on,on,auth,increasing,fluctuate,increasing,2,day
368,on,on,auth,increasing,fluctuate,increasing,2,noon
369,on,on,auth,increasing,fluctuate,increasing,2,evening
370,on,on,auth,increasing,fluctuate,increasing,2,dusk
371,on,on,auth,increasing,fluctuate,increasing,2,night
372,on,on,auth,increasing,fluctuate,increasing,3,dawn
373,on,on,auth,increasing,fluctuate,increasing,3,day
374,on,on,auth,increasing,fluctuate,increasing,3,noon
375,on,on,auth,increasing,fluctuate,increasing,3,evening
376,on,on,auth,increasing,fluctuate,increasing,3,dusk
377,on,on,auth,increasing,fluctuate,increasing,3,night
378,on,on,auth,increasing,fluctuate,increasing,4,dawn
379,on,on,auth,increasing,fluctuate,increasing,4,day
380,on,on,auth,increasing,fluctuate,increasing,4,noon
381,on,on,auth,increasing,fluctuate,increasing,4,evening
382,on,on,auth,increasing,fluctuate,increasing,4,dusk
383,on,on,auth,increasing,fluctuate,increasing,4,night
384,on,on,auth,increasing,fluctuate,increasing,5,dawn
385,on,on,auth,increasing,fluctuate,increasing,5,day
386,on,on,auth,increasing,fluctuate,increasing,5,noon
387,on,on,auth,increasing,fluctuate,increasing,5,evening
388,on,on,auth,increasing,fluctuate,increasing,5,dusk
389,on,on,auth,increasing,fluctuate,increasing,5,night
390,on,on,auth,increasing,fluctuate,decreasing,1,dawn
391,on,on,auth,increasing,fluctuate,decreasing,1,day
392,on,on,auth,increasing,fluctuate,decreasing,1,noon
393,on,on,auth,increasing,fluctuate,decreasing,1,evening
394,on,on,auth,increasing,fluctuate,decreasing,1,dusk
395,on,on,auth,increasing,fluctuate,decreasing,1,night
396,on,on,auth,increasing,fluctuate,decreasing,2,dawn
397,on,on,auth,increasing,fluctuate,decreasing,2,day
398,on,on,auth,increasing,fluctuate,decreasing,2,noon
399,on,on,auth,increasing,fluctuate,decreasing,2,evening
400,on,on,auth,increasing,fluctuate,decreasing,2,dusk
401,on,on,auth,increasing,fluctuate,decreasing,2,night
402,on,on,auth,increasing,fluctuate,decreasing,3,dawn
403,on,on,auth,increasing,fluctuate,decreasing,3,day
404,on,on,auth,increasing,fluctuate,decreasing,3,noon
405,on,on,auth,increasing,fluctuate,decreasing,3,evening
406,on,on,auth,increasing,fluctuate,decreasing,3,dusk
407,on,on,auth,increasing,fluctuate,decreasing,3,night
408,on,on,auth,increasing,fluctuate,decreasing,4,dawn
409,on,on,auth,increasing,fluctuate,decreasing,4,day
410,on,on,auth,increasing,fluctuate,decreasing,4,noon
411,on,on,auth,increasing,fluctuate,decreasing,4,evening
412,on,on,auth,increasing,fluctuate,decreasing,4,dusk
413,on,on,auth,increasing,fluctuate,decreasing,4,night
414,on,on,auth,increasing,fluctuate,decreasing,5,dawn
415,on,on,auth,increasing,fluctuate,decreasing,5,day
416,on,on,auth,increasing,fluctuate,decreasing,5,noon
417,on,on,auth,increasing,fluctuate,decreasing,5,evening
418,on,on,auth,increasing,fluctuate,decreasing,5,dusk
419,on,on,auth,increasing,fluctuate,decreasing,5,night
420,on,on,auth,increasing,fluctuate,stable,1,dawn
421,on,on,auth,increasing,fluctuate,stable,1,day
422,on,on,auth,increasing,fluctuate,stable,1,noon
423,on,on,auth,increasing,fluctuate,stable,1,evening
424,on,on,auth,increasing,fluctuate,stable,1,dusk
425,on,on,auth,increasing,fluctuate,stable,1,night
426,on,on,auth,increasing,fluctuate,stable,2,dawn
427,on,on,auth,increasing,fluctuate,stable,2,day
428,on,on,auth,increasing,fluctuate,stable,2,noon
429,on,on,auth,increasing,fluctuate,stable,2,evening
430,on,on,auth,increasing,fluctuate,stable,2,dusk
431,on,on,auth,increasing,fluctuate,stable,2,night
432,on,on,auth,increasing,fluctuate,stable,3,dawn
433,on,on,auth,increasing,fluctuate,stable,3,day
434,on,on,auth,increasing,fluctuate,stable,3,noon
435,on,on,auth,increasing,fluctuate,stable,3,evening
436,on,on,auth,increasing,fluctuate,stable,3,dusk
437,on,on,auth,increasing,fluctuate,stable,3,night
438,on,on,auth,increasing,fluctuate,stable,4,dawn
439,on,on,auth,increasing,fluctuate,stable,4,day
440,on,on,auth,increasing,fluctuate,stable,4,noon
441,on,on,auth,increasing,fluctuate,stable,4,evening
442,on,on,auth,increasing,fluctuate,stable,4,dusk
443,on,on,auth,increasing,fluctuate,stable,4,night
444,on,on,auth,increasing,fluctuate,stable,5,dawn
445,on,on,auth,increasing,fluctuate,stable,5,day
446,on,on,auth,increasing,fluctuate,stable,5,noon
447,on,on,auth,increasing,fluctuate,stable,5,evening
448,on,on,auth,increasing,fluctuate,stable,5,dusk
449,on,on,auth,increasing,fluctuate,stable,5,night
450,on,on,auth,increasing,fluctuate,fluctuate,1,dawn
451,on,on,auth,increasing,fluctuate,fluctuate,1,day
452,on,on,auth,increasing,fluctuate,fluctuate,1,noon
453,on,on,auth,increasing,fluctuate,fluctuate,1,evening
454,on,on,auth,increasing,fluctuate,fluctuate,1,dusk
455,on,on,auth,increasing,fluctuate,fluctuate,1,night
456,on,on,auth,increasing,fluctuate,fluctuate,2,dawn
457,on,on,auth,increasing,fluctuate,fluctuate,2,day
458,on,on,auth,increasing,fluctuate,fluctuate,2,noon
459,on,on,auth,increasing,fluctuate,fluctuate,2,evening
460,on,on,auth,increasing,fluctuate,fluctuate,2,dusk
461,on,on,auth,increasing,fluctuate,fluctuate,2,night
462,on,on,auth,increasing,fluctuate,fluctuate,3,dawn
463,on,on,auth,increasing,fluctuate,fluctuate,3,day
464,on,on,auth,increasing,fluctuate,fluctuate,3,noon
465,on,on,auth,increasing,fluctuate,fluctuate,3,evening
466,on,on,auth,increasing,fluctuate,fluctuate,3,dusk
